SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-24-2017,Condo/Co-op,2527 Q St NW #104,Washington,DC,20007,404000,2,2.0,WASHINGTON,696,,2002,621,580,450,Sold,,,http://www.redfin.com/DC/Washington/2527-Q-St-NW-20007/unit-104/home/10186627,BRIGHT MLS,1001392713,N,Y,38.9107705,-77.0544772
PAST SALE,August-6-2018,Condo/Co-op,2425 L St NW #508,Washington,DC,20037,575000,1,1.0,WASHINGTON,754,,2006,243,763,731,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-508/home/11745716,BRIGHT MLS,1000410776,N,Y,38.9041571,-77.0523302
PAST SALE,August-15-2018,Condo/Co-op,2130 N St NW #305,Washington,DC,20037,256000,0,1.0,WASHINGTON,416,,1947,234,615,346,Sold,,,http://www.redfin.com/DC/Washington/2130-N-St-NW-20037/unit-305/home/9053593,BRIGHT MLS,1001919602,N,Y,38.9071056,-77.0472923
PAST SALE,March-27-2019,Condo/Co-op,2425 L St NW #621,Washington,DC,20037,655000,1,1.0,CENTRAL,850,270,2006,10,771,748,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-621/home/11745892,BRIGHT MLS,DCDC401288,N,Y,38.9041571,-77.0523302
PAST SALE,August-16-2018,Condo/Co-op,1321 21st St NW #1,Washington,DC,20036,429000,1,1.0,WASHINGTON,550,,1921,233,780,144,Sold,,,http://www.redfin.com/DC/Washington/1321-21st-St-NW-20036/unit-1/home/56676296,BRIGHT MLS,1002028072,N,Y,38.907914,-77.0462579
PAST SALE,November-16-2018,Townhouse,1321 21st St NW #3,Washington,DC,20036,440000,1,1.0,WASHINGTON,470,,1921,141,936,,Sold,,,http://www.redfin.com/DC/Washington/1321-21st-St-NW-20036/unit-3/home/56370744,BRIGHT MLS,1009949516,N,Y,38.907914,-77.0462579
PAST SALE,February-14-2019,Condo/Co-op,2201 L St NW #220,Washington,DC,20037,299900,0,1.0,WASHINGTON,505,95,1967,51,594,453,Sold,,,http://www.redfin.com/DC/Washington/2201-L-St-NW-20037/unit-220/home/9050058,BRIGHT MLS,DCDC309470,N,Y,38.9038969,-77.0488783
PAST SALE,February-20-2018,Condo/Co-op,2515 K St NW #510,Washington,DC,20037,301000,1,1.0,WASHINGTON,574,,1939,410,524,600,Sold,,,http://www.redfin.com/DC/Washington/2515-K-St-NW-20037/unit-510/home/9041763,BRIGHT MLS,1004436125,N,Y,38.9026671,-77.05392
PAST SALE,June-28-2018,Condo/Co-op,1010 25th St NW #401,Washington,DC,20037,395000,1,1.0,FOGGY BOTTOM,652,,1938,282,606,452,Sold,,,http://www.redfin.com/DC/Washington/1010-25th-St-NW-20037/unit-401/home/9041086,BRIGHT MLS,1001669596,N,Y,38.9026469,-77.053473
PAST SALE,June-30-2017,Condo/Co-op,2515 K St NW #212,Washington,DC,20037,295000,1,1.0,WASHINGTON,566,,1939,645,521,578,Sold,,,http://www.redfin.com/DC/Washington/2515-K-St-NW-20037/unit-212/home/9041813,BRIGHT MLS,1001386219,N,Y,38.9026671,-77.05392
PAST SALE,September-27-2018,Condo/Co-op,1121 24th St NW #204,Washington,DC,20037,349900,1,1.0,WASHINGTON,402,,1940,191,870,268,Sold,,,http://www.redfin.com/DC/Washington/1121-24th-St-NW-20037/unit-204/home/21636104,BRIGHT MLS,1002251032,N,Y,38.9043982,-77.0510379
PAST SALE,July-30-2018,Condo/Co-op,3 Washington Cir NW #1003,Washington,DC,20037,399900,1,1.5,WASHINGTON,908,,1909,250,440,745,Sold,,,http://www.redfin.com/DC/Washington/3-Washington-Cir-NW-20037/unit-1003/home/9048574,BRIGHT MLS,1000385858,N,Y,38.9028297,-77.0508464
PAST SALE,September-7-2018,Condo/Co-op,1330 New Hampshire Ave NW #321,Washington,DC,20036,310000,0,1.0,WASHINGTON,504,,1963,211,615,445,Sold,,,http://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/unit-321/home/9056846,BRIGHT MLS,1001985468,N,Y,38.9081797,-77.0450162
PAST SALE,March-22-2019,Condo/Co-op,2201 L St NW #119,Washington,DC,20037,288000,0,1.0,WASHINGTON,510,95,1967,15,565,431,Sold,,,http://www.redfin.com/DC/Washington/2201-L-St-NW-20037/unit-119/home/9049782,BRIGHT MLS,DCDC400154,N,Y,38.9038969,-77.0488783
PAST SALE,December-8-2017,Condo/Co-op,2425 L St NW #314,Washington,DC,20037,1260000,2,2.0,WASHINGTON,1512,,2006,484,833,1439,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-000314/home/11745772,BRIGHT MLS,1000990391,N,Y,38.904343,-77.0523268
PAST SALE,August-10-2018,Condo/Co-op,1200 23rd St NW #806,Washington,DC,20037,380000,1,1.5,WASHINGTON,1000,,1981,239,380,916,Sold,,,http://www.redfin.com/DC/Washington/1200-23rd-St-NW-20037/unit-806/home/143454443,BRIGHT MLS,1005866187,N,Y,38.9056559,-77.050392
PAST SALE,November-14-2018,Condo/Co-op,2500 Q St NW #603,Washington,DC,20007,339500,1,1.0,WASHINGTON,799,,1942,143,425,723,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-603/home/9928616,BRIGHT MLS,1007751786,N,Y,38.9104655,-77.0524133
PAST SALE,May-31-2017,Townhouse,1409 Hopkins St NW,Washington,DC,20036,1515000,4,4.0,WASHINGTON,3101,1256,1900,675,489,,Sold,,,http://www.redfin.com/DC/Washington/1409-Hopkins-St-NW-20036/home/9056142,BRIGHT MLS,1001387867,N,Y,38.9089873,-77.0455736
PAST SALE,April-27-2018,Townhouse,1511 28th St NW,Washington,DC,20007,1250000,3,2.5,WASHINGTON,1664,1286,1895,344,751,,Sold,,,http://www.redfin.com/DC/Washington/1511-28th-St-NW-20007/home/9929621,BRIGHT MLS,1000218472,N,Y,38.9097218,-77.0569298
PAST SALE,June-15-2018,Condo/Co-op,1177 22nd St NW Unit 5B,Washington,DC,20037,1575000,2,2.0,WASHINGTON,1480,,2008,295,1064,1809,Sold,,,http://www.redfin.com/DC/Washington/1177-22nd-St-NW-20037/unit-5B/home/21645518,BRIGHT MLS,1005885723,N,Y,38.9048618,-77.0482951
PAST SALE,November-16-2018,Condo/Co-op,2555 Pennsylvania Ave NW #916,Washington,DC,20037,520000,1,1.0,WASHINGTON,824,,1978,141,631,607,Sold,,,http://www.redfin.com/DC/Washington/2555-Pennsylvania-Ave-NW-20037/unit-916/home/9040297,BRIGHT MLS,1003011398,N,Y,38.9041102,-77.0542479
PAST SALE,October-26-2018,Condo/Co-op,2555 Pennsylvania Ave NW #605,Washington,DC,20037,599000,1,1.0,WASHINGTON,868,,1978,162,690,689,Sold,,,http://www.redfin.com/DC/Washington/2555-Pennsylvania-Ave-NW-20037/unit-605/home/9040002,BRIGHT MLS,1004225252,N,Y,38.9041102,-77.0542479
PAST SALE,September-29-2017,Townhouse,2447 P St NW,WASHINGTON,DC,20007,1662500,4,3.5,WASHINGTON,1431,1966,1900,554,1162,,Sold,,,http://www.redfin.com/DC/Washington/2447-P-St-NW-20007/home/9928557,BRIGHT MLS,1000187283,N,Y,38.9097475,-77.0531408
PAST SALE,July-23-2018,Condo/Co-op,1260 21st St NW #706,Washington,DC,20036,305000,1,1.0,Central,506,,1966,257,603,704,Sold,,,http://www.redfin.com/DC/Washington/1260-21st-St-NW-20036/home/9052414,MRIS,DC10272341,N,Y,38.9064424,-77.0468062
PAST SALE,June-27-2018,Condo/Co-op,2141 P St NW #502,Washington,DC,20037,604250,2,2.0,Central,898,,1980,283,673,540,Sold,,,http://www.redfin.com/DC/Washington/2141-P-St-NW-20037/unit-805/home/9050779,MRIS,DC10232202,N,Y,38.9097771,-77.047516
PAST SALE,December-5-2017,Condo/Co-op,2301 N St NW #606,Washington,DC,20037,693500,2,2.0,WASHINGTON,912,,1991,487,760,864,Sold,,,http://www.redfin.com/DC/Washington/2301-N-St-NW-20037/unit-606/home/9047509,BRIGHT MLS,1003302001,N,Y,38.9073871,-77.05009
PAST SALE,,Condo/Co-op,2425 L St NW Apt 424,Washington,DC,20037,650000,1,1.0,,822,,2006,,791,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-424/home/22676149,,,N,Y,38.9041571,-77.0523302
PAST SALE,November-16-2018,Condo/Co-op,1111 24th St NW Ph 107,Washington,DC,20037,1240000,2,2.0,WASHINGTON,1023,,2017,141,1212,1082,Sold,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-107/home/160523914,BRIGHT MLS,1000258174,N,Y,38.9041312,-77.0511178
PAST SALE,February-16-2018,Townhouse,2629 O St NW,Washington,DC,20007,1025000,2,1.5,WASHINGTON,1205,940,1941,414,851,,Sold,,,http://www.redfin.com/DC/Washington/2629-O-St-NW-20007/home/9928414,BRIGHT MLS,1000990881,N,Y,38.9086467,-77.055713
PAST SALE,October-15-2018,Condo/Co-op,2500 Q St NW #745,Washington,DC,20007,375000,1,1.0,WASHINGTON,886,,1942,173,423,809,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-745/home/9929194,BRIGHT MLS,1006073374,N,Y,38.9104655,-77.0524133
PAST SALE,October-16-2018,Parking,2500 Q St NW Unit P-61,Washington,DC,20007,45000,0,,WASHINGTON,,,1943,172,,81,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-P-61/home/9929429,BRIGHT MLS,1001845076,N,Y,38.9103711,-77.0520839
PAST SALE,June-13-2018,Condo/Co-op,1280 21st St NW #307,Washington,DC,20036,630000,2,2.0,Central,1275,,1967,297,494,1033,Sold,,,http://www.redfin.com/DC/Washington/1280-21st-St-NW-20036/home/9053123,MRIS,DC10206343,N,Y,38.9068674,-77.0468062
PAST SALE,October-22-2018,Townhouse,2725 N St NW,Washington,DC,20007,2680000,4,4.5,WASHINGTON,2574,1913,1900,166,1041,,Sold,,,http://www.redfin.com/DC/Washington/2725-N-St-NW-20007/home/9926870,BRIGHT MLS,1001410304,N,Y,38.9070821,-77.0567933
PAST SALE,January-2-2018,Condo/Co-op,2120 N St NW #102,Washington,DC,20037,367000,1,1.0,WASHINGTON,478,,1952,459,768,363,Sold,,,http://www.redfin.com/DC/Washington/2120-N-St-NW-20037/unit-102/home/9053718,BRIGHT MLS,1003138661,N,Y,38.907108,-77.0470709
PAST SALE,October-15-2018,Townhouse,2021 Hillyer Pl NW,Washington,DC,20009,2050000,5,3.5,WASHINGTON,3724,1800,1922,173,550,,Sold,,,http://www.redfin.com/DC/Washington/2021-Hillyer-Pl-NW-20009/home/9055964,BRIGHT MLS,1002770064,N,Y,38.9120555,-77.0459846
PAST SALE,March-1-2018,Condo/Co-op,2500 Q St NW #538,Washington,DC,20007,285000,0,1.0,WASHINGTON,528,,1942,401,540,415,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-538/home/9929083,BRIGHT MLS,1004387697,N,Y,38.9104655,-77.0524133
PAST SALE,August-7-2018,Condo/Co-op,1111 25th St NW #507,Washington,DC,20037,590000,1,1.0,WASHINGTON,889,,2005,242,664,602,Sold,,,http://www.redfin.com/DC/Washington/1111-25th-St-NW-20037/unit-507/home/10346507,BRIGHT MLS,1001543040,N,Y,38.9045599,-77.0531137
PAST SALE,,Condo/Co-op,1321 21st St NW Apt 3,Washington,DC,20036,440000,1,1.0,,455,,1921,,967,,,,,http://www.redfin.com/DC/Washington/1321-21st-St-NW-20036/unit-3/home/96401353,,,N,Y,38.907914,-77.0462579
PAST SALE,November-16-2018,Townhouse,2705 Poplar St NW,Washington,DC,20007,1150000,3,2.0,WASHINGTON,1320,696,1952,141,871,,Sold,,,http://www.redfin.com/DC/Washington/2705-Poplar-St-NW-20007/home/9928392,BRIGHT MLS,1002699528,N,Y,38.9091007,-77.0559377
PAST SALE,November-19-2018,Condo/Co-op,1414 NW 22nd St NW #26,Washington,DC,20037,1250000,2,2.5,WASHINGTON,1403,,2006,138,891,1350,Sold,,,http://www.redfin.com/DC/Washington/1414-22nd-St-NW-20037/unit-26/home/10346674,BRIGHT MLS,1010010968,N,Y,38.9091062,-77.0489662
PAST SALE,,Condo/Co-op,2425 L St NW,Washington,DC,20037,594000,1,1.0,,810,,2006,,733,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/home/22676162,,,N,Y,38.904343,-77.0523268
PAST SALE,July-17-2018,Condo/Co-op,2501 M St NW #310,Washington,DC,20037,2700000,2,2.5,WASHINGTON,1919,,2017,263,1407,1230,Sold,,,http://www.redfin.com/DC/Washington/2501-M-St-NW-20037/unit-310/home/143983624,BRIGHT MLS,1001777613,N,Y,38.9055094,-77.053806
PAST SALE,July-31-2017,Townhouse,2014 Hillyer Pl NW,Washington,DC,20009,1625000,5,3.5,WASHINGTON,2500,1800,1883,614,650,,Sold,,,http://www.redfin.com/DC/Washington/2014-Hillyer-Pl-NW-20009/home/9055939,BRIGHT MLS,1001391765,N,Y,38.9117072,-77.0455848
PAST SALE,,Condo/Co-op,1330 New Hampshire Ave NW #100,Washington,DC,20036,303485,0,1.0,,506,,1963,,600,,,,,http://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/unit-100/home/9057420,,,N,Y,38.9083086,-77.0451575
PAST SALE,May-12-2017,Condo/Co-op,2301 N St NW #517,Washington,DC,20037,815000,2,2.0,WASHINGTON,1130,,1991,694,721,1042,Sold,,,http://www.redfin.com/DC/Washington/2301-N-St-NW-20037/unit-517/home/9047490,BRIGHT MLS,1001385339,N,Y,38.9073871,-77.05009
PAST SALE,,Condo/Co-op,2555 Pennsylvania Ave NW Apt 512,Washington,DC,20037,650000,1,1.5,,1092,,1978,,595,,,,,http://www.redfin.com/DC/Washington/2555-Pennsylvania-Ave-NW-20037/unit-512/home/9039948,,,N,Y,38.9041102,-77.0542479
PAST SALE,,Condo/Co-op,2425 L St NW Apt 314,Washington,DC,20037,1260000,2,2.0,,1400,,2006,,900,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-314/home/22675979,,,N,Y,38.9041571,-77.0523302
PAST SALE,July-21-2017,Condo/Co-op,1121 24TH St NW #201,WASHINGTON,DC,20037,279900,0,1.0,WASHINGTON,390,,1940,624,718,178,Sold,,,http://www.redfin.com/DC/Washington/1121-24th-St-NW-20037/unit-201/home/22655483,BRIGHT MLS,1001393595,N,Y,38.9043982,-77.0510379
PAST SALE,,Condo/Co-op,2425 L St NW Apt 836,Washington,DC,20037,1185000,2,2.0,,1253,,2006,,946,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-836/home/22675765,,,N,Y,38.9041571,-77.0523302
PAST SALE,,Condo/Co-op,1111 24th St NW Unit 44,Washington,DC,20037,1515800,2,2.0,,1363,,2017,,1112,,,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-44/home/144457148,,,N,Y,38.9041312,-77.0511178
